x,y,z,Ex,Ey,Ez
-0.00025,0.000125,9.374999999999997e-05,-6.698402289178338,2.5254200144676084,7.954639866564822
-0.00025,0.000125,0.000125,-6.6971403213902745,2.524830353840779,7.793222320582358
-0.00025,0.000125,0.00015625000000000003,-6.695794656935204,2.5242106482855196,7.632575636099155
-0.00025,0.000125,0.0001875,-6.694365223753523,2.523560859340359,7.472687573598781
-0.00025,0.000125,0.00021874999999999998,-6.692851956006522,2.5228809511142765,7.31354591888499
-0.00025,0.000125,0.00025,-6.691254794071268,2.5221708902843574,7.155138483431919
-0.00025,0.00015625000000000003,-0.00025,-6.706004513697709,2.2682377324014205,9.784298179289387
-0.00025,0.00015625000000000003,-0.00021875,-6.705656659668818,2.267801670021598,9.613560572939162
-0.00025,0.00015625000000000003,-0.0001875,-6.705226323515928,2.2673431898873617,9.443729955335066
-0.00025,0.00015625000000000003,-0.00015625,-6.704713364540234,2.2668622127355778,9.274793835302473
-0.00025,0.00015625000000000003,-0.000125,-6.704117648292533,2.2663586618757825,9.106739742860134
-0.00025,0.00015625000000000003,-9.375e-05,-6.703439046572465,2.2658324631892923,8.939555229617062
-0.00025,0.00015625000000000003,-6.25e-05,-6.702677437427595,2.2652835451279736,8.77322786916481
